feature,psi
delinquency_momentum,2.237738938723148
PAY_3,1.3584616768928357
PAY_2,1.3316847100547755
avg_delay,1.2215201334378418
months_with_delay,1.2066509100179492
PAY_0,1.1751651550656883
max_delay,0.4268018511792948
utilization,0.23079721059767808
bill_trend,0.17174645777001007
PAY_AMT2,0.13293086054712122
payment_coverage_ratio,0.12346439113921359
payment_to_bill_ratio,0.12346439113921359
PAY_AMT1,0.11903461325344468
recent_bill_growth,0.07305872427097886
BILL_AMT1,0.039894335600051234
weighted_payment_shortfall,0.03617818211950696
max_payment,0.01317072484595885
max_bill,0.011194453218119654
avg_payment,0.011062404003351794
avg_bill,0.0011648774595588458
AGE,0.0002612222766185831
BILL_AMT6,0.00018088076890133563
PAY_AMT5,0.00014871443821690454
PAY_AMT3,0.0001286291802124852
BILL_AMT2,0.00012336477716354234
LIMIT_BAL,0.00012117150760989227
BILL_AMT4,0.00011198421831009063
BILL_AMT3,9.912303760268605e-05
PAY_AMT4,9.332238759634805e-05
BILL_AMT5,7.632401716067334e-05
MARRIAGE,6.048128913821756e-05
PAY_AMT6,5.127741499613388e-05
PAY_6,4.44338934416203e-05
EDUCATION,1.6048391711839312e-05
PAY_4,1.470467438437882e-05
SEX,1.305603530259959e-05
PAY_5,5.201764630918516e-06
