model_a,model_b,auc_difference,ci_lower,ci_upper,p_value_two_sided,probability_a_better,n_valid_bootstrap
logistic_regression,random_forest,-0.029856616703792027,-0.037794297289345274,-0.021978394674530062,0.0,0.0,2000
logistic_regression,hist_gradient_boosting,-0.03030670024581228,-0.03840505364164202,-0.022501729275311844,0.0,0.0,2000
logistic_regression,lightgbm,-0.0291806850784323,-0.03792549038722408,-0.020443941198701954,0.0,0.0,2000
logistic_regression,random_forest_calibrated_sigmoid,-0.029856616703792027,-0.037794297289345274,-0.021978394674530062,0.0,0.0,2000
logistic_regression,hist_gradient_boosting_calibrated_sigmoid,-0.03030670024581228,-0.03840505364164202,-0.022501729275311844,0.0,0.0,2000
logistic_regression,lightgbm_calibrated_sigmoid,-0.0291806850784323,-0.03792549038722408,-0.020443941198701954,0.0,0.0,2000
random_forest,hist_gradient_boosting,-0.000450083542020252,-0.003381196695547766,0.0024791567236306937,0.763,0.3815,2000
random_forest,lightgbm,0.000675931625359727,-0.003713046268452014,0.00514890344117286,0.782,0.609,2000
random_forest,random_forest_calibrated_sigmoid,0.0,0.0,0.0,1.0,0.0,2000
random_forest,hist_gradient_boosting_calibrated_sigmoid,-0.000450083542020252,-0.003381196695547766,0.0024791567236306937,0.763,0.3815,2000
random_forest,lightgbm_calibrated_sigmoid,0.000675931625359727,-0.003713046268452014,0.00514890344117286,0.782,0.609,2000
hist_gradient_boosting,lightgbm,0.001126015167379979,-0.002581094978917542,0.004919603557580544,0.548,0.726,2000
hist_gradient_boosting,random_forest_calibrated_sigmoid,0.000450083542020252,-0.0024791567236306955,0.0033811966955477643,0.763,0.6185,2000
hist_gradient_boosting,hist_gradient_boosting_calibrated_sigmoid,0.0,0.0,0.0,1.0,0.0,2000
hist_gradient_boosting,lightgbm_calibrated_sigmoid,0.001126015167379979,-0.002581094978917542,0.004919603557580544,0.548,0.726,2000
lightgbm,random_forest_calibrated_sigmoid,-0.000675931625359727,-0.005148903441172861,0.0037130462684520135,0.782,0.391,2000
lightgbm,hist_gradient_boosting_calibrated_sigmoid,-0.001126015167379979,-0.004919603557580545,0.0025810949789175416,0.548,0.274,2000
lightgbm,lightgbm_calibrated_sigmoid,0.0,0.0,0.0,1.0,0.0,2000
random_forest_calibrated_sigmoid,hist_gradient_boosting_calibrated_sigmoid,-0.000450083542020252,-0.003381196695547766,0.0024791567236306937,0.763,0.3815,2000
random_forest_calibrated_sigmoid,lightgbm_calibrated_sigmoid,0.000675931625359727,-0.003713046268452014,0.00514890344117286,0.782,0.609,2000
hist_gradient_boosting_calibrated_sigmoid,lightgbm_calibrated_sigmoid,0.001126015167379979,-0.002581094978917542,0.004919603557580544,0.548,0.726,2000
