model_a,model_b,mean_cost_difference_per_applicant,ci_lower,ci_upper,probability_a_cheaper
logistic_regression,random_forest,457.835,134.87500000000023,756.666666666667,0.003
logistic_regression,hist_gradient_boosting,361.2616666666667,45.0,660.0,0.0145
logistic_regression,lightgbm,245.17166666666668,-111.70833333333354,593.333333333333,0.0975
logistic_regression,random_forest_calibrated_sigmoid,397.7691666666667,88.33333333333391,708.3749999999994,0.006
logistic_regression,hist_gradient_boosting_calibrated_sigmoid,449.6966666666666,143.29166666666734,743.3750000000003,0.0015
logistic_regression,lightgbm_calibrated_sigmoid,245.17166666666668,-111.70833333333354,593.333333333333,0.0975
random_forest,hist_gradient_boosting,-96.57333333333334,-275.0,78.33333333333306,0.86
random_forest,lightgbm,-212.66333333333333,-470.0416666666666,36.66666666666697,0.9555
random_forest,random_forest_calibrated_sigmoid,-60.065833333333345,-136.66666666666697,30.041666666666423,0.9065
random_forest,hist_gradient_boosting_calibrated_sigmoid,-8.138333333333344,-211.6666666666661,216.66666666666697,0.539
random_forest,lightgbm_calibrated_sigmoid,-212.66333333333333,-470.0416666666666,36.66666666666697,0.9555
hist_gradient_boosting,lightgbm,-116.09,-398.33333333333303,160.04166666666643,0.7875
hist_gradient_boosting,random_forest_calibrated_sigmoid,36.50749999999999,-143.33333333333303,211.70833333333252,0.33
hist_gradient_boosting,hist_gradient_boosting_calibrated_sigmoid,88.43499999999999,-30.0,225.0,0.077
hist_gradient_boosting,lightgbm_calibrated_sigmoid,-116.09,-398.33333333333303,160.04166666666643,0.7875
lightgbm,random_forest_calibrated_sigmoid,152.5975,-103.37500000000051,425.0,0.122
lightgbm,hist_gradient_boosting_calibrated_sigmoid,204.525,-81.70833333333354,521.7916666666663,0.0875
lightgbm,lightgbm_calibrated_sigmoid,0.0,0.0,0.0,0.0
random_forest_calibrated_sigmoid,hist_gradient_boosting_calibrated_sigmoid,51.927499999999995,-145.0416666666666,268.33333333333303,0.3125
random_forest_calibrated_sigmoid,lightgbm_calibrated_sigmoid,-152.5975,-425.0,103.37500000000037,0.8745
hist_gradient_boosting_calibrated_sigmoid,lightgbm_calibrated_sigmoid,-204.525,-521.7916666666667,81.7083333333334,0.91
