model,split,roc_auc,gini,ks,average_precision,brier_score,threshold,precision,recall,tn,fp,fn,tp,total_cost,cost_per_applicant
logistic_regression,validation,0.7591012100974169,0.5182024201948339,0.40517662190934434,0.5092297291030192,0.1892724148760035,0.2673737373737374,0.25667899712289355,0.9412207987942728,1056,3617,78,1249,43970000.0,7328.333333333333
logistic_regression,test,0.7509406036473377,0.5018812072946754,0.39602723465027256,0.5033574484243672,0.19208554136034037,0.2673737373737374,0.25617283950617287,0.9382064807837227,1058,3615,82,1245,44350000.0,7391.666666666667
random_forest,validation,0.7859289145375049,0.5718578290750098,0.43392552673562357,0.5591202305221222,0.17193653829354,0.26242424242424245,0.28702830188679246,0.9171062547098718,1650,3023,110,1217,41230000.0,6871.666666666667
random_forest,test,0.7807972203511298,0.5615944407022595,0.42736907866399204,0.5598446011020288,0.17379963041182586,0.26242424242424245,0.2851113716295428,0.9163526752072344,1624,3049,111,1216,41590000.0,6931.666666666667
hist_gradient_boosting,validation,0.7846319611563873,0.5692639223127747,0.4314599848961574,0.5591711312411238,0.13387866616101166,0.08919191919191918,0.2777777777777778,0.9306706857573473,1462,3211,92,1235,41310000.0,6885.0
hist_gradient_boosting,test,0.78124730389315,0.5624946077863,0.4266995169060312,0.559528897565059,0.1345596287114545,0.08919191919191918,0.2746761947297901,0.9269027882441597,1425,3248,97,1230,42180000.0,7030.0
lightgbm,validation,0.7842225963869789,0.5684451927739578,0.43086524892232325,0.5573250382456343,0.17291835846675108,0.2772727272727273,0.30383329045536406,0.8899773926149209,1967,2706,146,1181,41660000.0,6943.333333333333
lightgbm,test,0.78012128872577,0.56024257745154,0.43147175705616014,0.5672597891260821,0.17445850174353034,0.2772727272727273,0.302566761731916,0.8794272795779955,1983,2690,160,1167,42900000.0,7150.0
random_forest_calibrated_sigmoid,validation,0.7859289145375049,0.5718578290750098,0.43392552673562357,0.5591202305221222,0.13416530892895834,0.08919191919191918,0.28196872125114997,0.9238884702336096,1551,3122,101,1226,41320000.0,6886.666666666667
random_forest_calibrated_sigmoid,test,0.7807972203511298,0.5615944407022595,0.42736907866399204,0.5598446011020288,0.13550090822387215,0.08919191919191918,0.2798259674833982,0.9208741522230596,1528,3145,105,1222,41950000.0,6991.666666666667
hist_gradient_boosting_calibrated_sigmoid,validation,0.7846319611563873,0.5692639223127747,0.4314599848961574,0.5591711312411238,0.13385172702810655,0.08424242424242423,0.2742894910773298,0.9382064807837227,1379,3294,82,1245,41140000.0,6856.666666666667
hist_gradient_boosting_calibrated_sigmoid,test,0.78124730389315,0.5624946077863,0.4266995169060312,0.559528897565059,0.13459747638693537,0.08424242424242423,0.27161572052401745,0.9374529012810852,1337,3336,83,1244,41660000.0,6943.333333333333
lightgbm_calibrated_sigmoid,validation,0.7842225963869789,0.5684451927739578,0.43086524892232325,0.5573250382456343,0.1341172967417956,0.10404040404040403,0.30383329045536406,0.8899773926149209,1967,2706,146,1181,41660000.0,6943.333333333333
lightgbm_calibrated_sigmoid,test,0.78012128872577,0.56024257745154,0.43147175705616014,0.5672597891260821,0.13477257566106235,0.10404040404040403,0.302566761731916,0.8794272795779955,1983,2690,160,1167,42900000.0,7150.0
