feature,importance_mean,importance_std
PAY_0,0.00891613722855303,0.0010544368277415018
max_delay,0.004533378185800563,0.0016489292771024757
months_with_delay,0.004026543694360855,0.001539357326722007
utilization,0.0037542600839974073,0.0009230747672553367
avg_delay,0.003667113847484382,0.0013746696302170019
weighted_payment_shortfall,0.0033669291428314913,0.0008504154288582045
LIMIT_BAL,0.0026037975268036638,0.0008978333804063543
max_bill,0.0025542361956508016,0.0009383470495735242
delinquency_momentum,0.0016961451766424125,0.0003083435900870633
BILL_AMT1,0.0015573492600445716,0.00047265839397201586
avg_payment,0.0014394502713053722,0.0004894109099965436
avg_bill,0.0014076009343118108,0.0005351124859302805
PAY_2,0.0013285016948417364,0.0005668409281898207
payment_to_bill_ratio,0.0010795285739082358,0.0003106816212816579
payment_coverage_ratio,0.0010252100000145944,0.00033962079387024293
PAY_3,0.0006862577985857321,0.0004386430776351084
bill_trend,0.0006605686877853604,0.00036562912107241936
max_payment,0.0006296170451847124,0.00029315391510058655
PAY_AMT3,0.0005111213853220516,0.000404111674971692
recent_bill_growth,0.0004850291183572201,0.00019067071461631094
PAY_AMT4,0.00046851046644477885,0.00017878001363620582
PAY_AMT6,0.00041769128805874877,0.0003198447883376916
PAY_AMT2,0.00040054371252973286,0.00029358160133701497
PAY_5,0.00039199142642732944,0.0002982417697453024
PAY_AMT1,0.0002552139783596215,0.0003734844732988775
PAY_6,0.0002395446421003163,0.00013958889771822168
AGE,0.00023223138927677505,0.0001868225098748389
BILL_AMT3,0.00019261188913987092,0.00028145285452002214
BILL_AMT5,0.00017765748314561383,0.00024353571310759356
EDUCATION,0.00015860432281248707,0.00020000943522100563
BILL_AMT4,0.0001553387578802301,0.00018207470767928142
BILL_AMT2,0.0001541131631402311,0.0002828728391912032
MARRIAGE,9.618231001287484e-05,7.625973029497654e-05
PAY_4,9.007046255942915e-05,0.00035701123378584617
SEX,-5.141316180157599e-05,5.728201337504736e-05
BILL_AMT6,-9.097890778320868e-05,0.00011144901849571056
PAY_AMT5,-0.0001225325969228197,0.00024088210220769968
